Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,China,1/22/2020 17:00,1,,
Beijing,China,1/22/2020 17:00,14,,
Chongqing,China,1/22/2020 17:00,6,,
Fujian,China,1/22/2020 17:00,1,,
Gansu,China,1/22/2020 17:00,,,
Guangdong,China,1/22/2020 17:00,26,,
Guangxi,China,1/22/2020 17:00,2,,
Guizhou,China,1/22/2020 17:00,1,,
Hainan,China,1/22/2020 17:00,4,,
Hebei,China,1/22/2020 17:00,1,,
Heilongjiang,China,1/22/2020 17:00,,,
Henan,China,1/22/2020 17:00,5,,
Hong Kong,Hong Kong,1/22/2020 17:00,,,
Hubei,China,1/22/2020 17:00,444,17,28
Hunan,China,1/22/2020 17:00,4,,
Inner Mongolia,China,1/22/2020 17:00,,,
Jiangsu,China,1/22/2020 17:00,1,,
Jiangxi,China,1/22/2020 17:00,2,,
Jilin,China,1/22/2020 17:00,,,
Liaoning,China,1/22/2020 17:00,2,,
Macau,Macau,1/22/2020 17:00,1,,
Ningxia,China,1/22/2020 17:00,1,,
Qinghai,China,1/22/2020 17:00,,,
Shaanxi,China,1/22/2020 17:00,,,
Shandong,China,1/22/2020 17:00,2,,
Shanghai,China,1/22/2020 17:00,9,,
Shanxi,China,1/22/2020 17:00,1,,
Sichuan,China,1/22/2020 17:00,5,,
Taiwan,Taiwan,1/22/2020 17:00,1,,
Tianjin,China,1/22/2020 17:00,4,,
Tibet,China,1/22/2020 17:00,,,
Washington,US,1/22/2020 17:00,1,,
Xinjiang,China,1/22/2020 17:00,,,
Yunnan,China,1/22/2020 17:00,1,,
Zhejiang,China,1/22/2020 17:00,10,,
,Japan,1/22/2020 17:00,2,,
,Thailand,1/22/2020 17:00,2,,
,South Korea,1/22/2020 17:00,1,,
